Name,Address,City,State,Zip,Lat,Long,IsSchool,Breakfast,Lunch,Supper,PMSnack
Archdiocese of Chicago-Nw Hwy - New Life Portage Park,5700 W Berteau Ave, Chicago, IL,60634,41.957443,-87.770365,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Sacred Keepers Sustainability Lab,4445 S King Dr, Chicago, IL,60653,41.813599,-87.615967,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Bright Boys and Girls Club,10740 S Calhoun Ave, Chicago, IL,60617,41.69974,-87.562316,1,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Bethsaida MB Church,5660 S Sangamon St, Chicago, IL,60621,41.790775,-87.649023,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - God's Abounding Love Ministry,9006 S Cottage Grove Ave, Chicago, IL,60619,41.730868,-87.604903,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Centers for New Horizons - Altgeld Gardens,951 E 132nd Pl, Chicago, IL,60827,41.654823,-87.598708,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - progressive Baptist church VBC,3658 S Wentworth Ave, Chicago, IL,60609,41.827599,-87.631824,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Saint John Church Baptist VBS,4821 S Michigan Ave, Chicago, IL,60615,41.806704,-87.622316,0,0,1,0,0
Archdiocese of Chicago-Nw Hwy - Chicago Vocational,2100 E 87th St, Chicago, IL,60617,41.738498,-87.572519,1,0,1,0,0
Archdiocese of Chicago-Nw Hwy - Julian Football Camp,10330 S Elizabeth St, Chicago, IL,60643,41.705946,-87.65424,1,0,1,0,0
Archdiocese of Chicago-Nw Hwy - Akarama Community Service Center,6220 S Ingleside Ave, Chicago, IL,60637,41.78156,-87.603182,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Winners Summer Camp,7114 N Clark St, Chicago, IL,60626,42.012008,-87.674825,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - New Hope Bible Church,1815 N Kostner Ave, Chicago, IL,60639,41.913652,-87.736203,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Perfected Way Ministries,2705 E 83rd St, Chicago, IL,60617,41.744056,-87.558451,0,1,1,0,0
Chicago Park District - Rogers Elem School,7345 N Washtenaw Ave, Chicago, IL,60645,42.015283,-87.696443,0,0,1,0,1
Chicago Park District - Sumner Elem Math & Sci Comm Acad,4320 W 5th Ave, Chicago, IL,60624,41.870573,-87.734166,1,0,1,0,1
Chicago Park District - Stanton Park,618 W Scott St, Chicago, IL,60610,41.905087,-87.644646,0,0,1,0,1
Chicago Park District - River Park,5100 N Francisco Ave, Chicago, IL,60625,41.973981,-87.701959,0,0,1,0,1
Chicago Park District - Loyola Park,1230 W Greenleaf Ave, Chicago, IL,60626,42.01085,-87.661613,0,0,1,0,1
Chicago Park District - Gill Park,825 W Sheridan Rd, Chicago, IL,60613,41.952355,-87.650594,0,0,1,0,1
Chicago Park District - Welles Park,2333 W Sunnyside Ave, Chicago, IL,60625,41.962812,-87.686394,0,0,1,0,0
Chicago Park District - Warren Park,6601 N Western Ave, Chicago, IL,60645,42.002228,-87.688961,0,0,1,0,1
Chicago Park District - Green Briar Park,2650 W Peterson Ave, Chicago, IL,60659,41.990644,-87.696204,0,0,1,0,1
Chicago Park District - Broadway Armory,5917 N Broadway St, Chicago, IL,60660,41.989597,-87.659934,0,0,1,0,1
